no,value
2017-07-27 14:16:27,68.8265
2017-07-27 14:21:27,71.6991
2017-07-27 14:26:27,70.7402
2017-07-27 14:31:27,71.1670
2017-07-27 14:36:27,71.7056
2017-07-27 14:41:27,63.3322
2017-07-27 14:46:27,68.2957
2017-07-27 14:51:27,70.1681
2017-07-27 14:56:27,71.0047
2017-07-27 15:01:27,70.8222
2017-07-27 15:06:27,70.6147
2017-07-27 15:11:27,70.7617
2017-07-27 15:16:27,71.2056
2017-07-27 15:21:27,71.5070
2017-07-27 15:26:27,69.4724
